Week,Date,Token Supply,Weekly Emission,Total MEZO Emissions Since Inception,MEZO Inflation Since Inception
0,1/26/2026,"1,000,000,000",4807692.308,0,0.00%
1,2/2/2026,"1,004,807,692",4807581.183,"4,807,692",0.48%
2,2/9/2026,"1,009,615,273",4807247.28,"9,615,273",0.96%
3,2/16/2026,"1,014,422,521",4806689.552,"14,422,521",1.44%
4,2/23/2026,"1,019,229,210",4805906.964,"19,229,210",1.92%
5,3/2/2026,"1,024,035,117",4804898.502,"24,035,117",2.40%
6,3/9/2026,"1,028,840,016",4803663.165,"28,840,016",2.88%
7,3/16/2026,"1,033,643,679",4802199.969,"33,643,679",3.36%
8,3/23/2026,"1,038,445,879",4800507.946,"38,445,879",3.84%
9,3/30/2026,"1,043,246,387",4798586.145,"43,246,387",4.32%
10,4/6/2026,"1,048,044,973",4796433.632,"48,044,973",4.80%
11,4/13/2026,"1,052,841,407",4794049.489,"52,841,407",5.28%
12,4/20/2026,"1,057,635,456",4791432.817,"57,635,456",5.76%
13,4/27/2026,"1,062,426,889",4788582.733,"62,426,889",6.24%
14,5/4/2026,"1,067,215,472",4785498.371,"67,215,472",6.72%
15,5/11/2026,"1,072,000,970",4782178.884,"72,000,970",7.20%
16,5/18/2026,"1,076,783,149",4778623.442,"76,783,149",7.68%
17,5/25/2026,"1,081,561,772",4774831.234,"81,561,772",8.16%
18,6/1/2026,"1,086,336,604",4770801.467,"86,336,604",8.63%
19,6/8/2026,"1,091,107,405",4766533.366,"91,107,405",9.11%
20,6/15/2026,"1,095,873,938",4762026.175,"95,873,938",9.59%
21,6/22/2026,"1,100,635,965",4757279.156,"100,635,965",10.06%
22,6/29/2026,"1,105,393,244",4752291.59,"105,393,244",10.54%
23,7/6/2026,"1,110,145,535",4747062.778,"110,145,535",11.01%
24,7/13/2026,"1,114,892,598",4741592.041,"114,892,598",11.49%
25,7/20/2026,"1,119,634,190",4735878.717,"119,634,190",11.96%
26,7/27/2026,"1,124,370,069",4729922.165,"124,370,069",12.44%
27,8/3/2026,"1,129,099,991",4723721.764,"129,099,991",12.91%
28,8/10/2026,"1,133,823,713",4717276.912,"133,823,713",13.38%
29,8/17/2026,"1,138,540,990",4710587.028,"138,540,990",13.85%
30,8/24/2026,"1,143,251,577",4703651.55,"143,251,577",14.33%
